,Bz_tot,Bz_totabs,itot,itotabs,itot_polarity,ihtot,ihtotabs,hctot,hctotabs,totrho,Bz_mean,Bz_std,Bz_skew,Bz_kurt,Bh_mean,Bh_std,Bh_skew,Bh_kurt,gamma_mean,gamma_std,gamma_skew,gamma_kurt,grad_B_mean,grad_B_std,grad_B_skew,grad_B_kurt,grad_Bz_mean,grad_Bz_std,grad_Bz_skew,grad_Bz_kurt,grad_Bh_mean,grad_Bh_std,grad_Bh_skew,grad_Bh_kurt,J_mean,J_std,J_skew,J_kurt,Jh_mean,Jh_std,Jh_skew,Jh_kurt,twist_mean,twist_std,twist_skew,twist_kurt,hc_mean,hc_std,hc_skew,hc_kurt,shear_mean,shear_std,shear_skew,shear_kurt,rho_mean,rho_std,rho_skew,rho_kurt,hnum,date
2012-03-04 02:00:00,67534563.14,161393.9000000003,2826198283.8878016,664802.531802936,1039625.1551797987,209106139850.56342,528235272.0454524,341696436025.2134,58023816393.69492,300866370.54663837,0.3006480757050786,255.25144174757162,-0.34018400769866763,23.145873351795682,127.94733991949,170.3451827059361,3.7650696021227716,15.560619214927335,0.01720992201873264,0.823790154371809,-0.018734960733740855,-1.3201336663528682,41.43783194261912,26.247559682381187,2.72341870506007,27.92983528680854,50.06664538650227,41.273232625096185,7.602036284746214,171.25702688215154,37.451896887713204,22.781629590154022,1.4794967860211574,7.594978648300103,-1.2384086505773555,6704.403261703714,0.014641915619660757,0.3499886023278549,984.0081815980262,853929.2618826968,1.5045037043418996,158.7730104760248,2.0146104608085924,7474.742794539639,22.650718987357983,22094.46700451533,108088.03024048083,1806102.3605402387,3.8378809988411478,105.40678725355048,0.9489874062512291,0.5699354688837517,0.9168141182362278,0.5486727639521747,560.4604346832054,2530.3611970487436,8.719188145244564,107.73367074336511,1449,2012-03-04 02:00:00
2012-03-04 03:00:00,66420599.19,2121321.290000002,2774162181.3354225,247536.4682023296,12402679.324283797,203389554403.16187,385613044.2279757,330077667525.8692,56562718201.4516,299583986.8388872,3.9516435490481014,253.02221797634232,-0.30578478038691054,23.502002923868226,126.26922773691307,170.0809738905328,3.7700892077464023,15.540603819293544,0.03411043258060991,0.8203781841328887,-0.04219154329144573,-1.3121502261890248,40.96275374119894,26.31535468743102,3.0715177788740706,35.344545586217215,49.56576147086124,40.81764439849155,6.64357077160436,125.01493672483366,36.85975910979924,22.551884177076897,1.5116496351531539,7.248875872738706,0.4611163298728244,6578.410393560319,0.015471988522497369,0.32678356047476287,718.3283861033042,849364.7271185152,0.7949459370312686,137.42676098226912,0.45764299632696265,6519.904461190845,47.032642155637866,21059.066254402383,105366.26467242576,1772267.7809922348,4.204558461497039,106.18630513042311,0.9546755765227457,0.5721358352176074,0.9056051095547341,0.5148628550289955,558.0715823532789,2524.7460068954674,8.556324877498687,103.45992020665469,1449,2012-03-04 03:00:00
2012-03-04 04:00:00,66159787.94999999,669453.4100000006,2713094853.023212,663446.5316877977,14493290.114481293,196562338245.3306,826574215.2138252,325644080066.2022,59253516348.95427,286217354.08887273,1.247072407883463,253.1784494677548,-0.2879937764166556,23.21232524537421,124.65996996047004,167.92316482560219,3.7453287034669334,15.294389786867317,0.02083044218637477,0.8196423728169631,-0.023621824790353577,-1.318279967911021,40.74970424711933,25.967341655869888,2.563449724104637,22.505711140311305,49.20775010669408,39.89321725692608,6.298367212004473,120.19026476651099,36.30739719302655,22.234122259909764,1.611072411299614,10.501890185889218,-1.235882663998729,6433.485815428011,0.0029699984321834043,0.2739304272512135,1539.760469456848,814675.4336010456,0.6984133944380343,129.41838295687967,12.178794919349093,6805.372348538364,33.47493528648265,16304.339093650413,110378.74212762987,1740921.693881362,4.546811562536059,93.89937318153353,0.958563720378937,0.5732920216652512,0.9018071825539273,0.4952100181243355,533.1719274409909,2405.7885103580584,8.482849422069553,103.82401937901254,1449,2012-03-04 04:00:00
2012-03-04 05:00:00,66101725.79,363355.91000000044,2782178955.8753114,84954.123410951,11090488.19877633,203531574706.0893,1187228763.98396,334236786781.7131,60640724307.31108,288111541.87133133,-0.6768673112030111,252.90299424913624,-0.3526817267906984,23.080986698172705,125.28668774656616,166.4994505065096,3.710429411633406,15.056975672112678,0.010146068968227773,0.8147153349364995,-0.010228728521300277,-1.3162152806738174,42.280263976890105,26.871689440140294,2.4010372876151878,16.946189282374892,50.258795468753235,41.1988471910911,5.942837589689484,97.22646924595396,37.55811140389108,22.834668493569126,1.5162755045726888,8.074644738878515,0.15825439329933869,6596.401900058875,0.01768342780623171,0.3385515814811644,2211.595626064528,832829.8980613037,0.6868104484021047,142.87157191021763,-13.045051795532606,8015.67803304993,35.68282455188229,28615.76152079621,112962.86335701181,1769365.5014285052,4.708395008389478,98.08817743758905,0.9640753342729415,0.5714293661802631,0.8838850270302386,0.4616394736056071,536.7004617401202,2420.7679899961577,7.981936911463278,81.96343511610682,1449,2012-03-04 05:00:00
2012-03-04 06:00:00,67255098.72000001,140752.26000000062,2975372828.1956053,544993.8737422181,7868962.96747831,218094175446.88272,162502645.85278141,353923795837.21643,55190119405.8343,286301078.4160604,0.26219637867441714,251.5058800040296,-0.36825217433869833,22.668573674529046,128.58590760211771,162.25408734643284,3.7026074859644313,15.227531874478437,0.019525345723623504,0.8089233923876434,-0.028643491557726376,-1.310592340890344,44.47068404623906,27.622717524414558,2.2976576187036435,17.7304083551366,52.270131838151976,40.529496597922716,5.107431182146213,84.95081799085251,39.74014797469189,23.586629491286573,1.3252037382160233,6.033028073067255,-1.0152264702176113,7023.624034807843,0.036997088512946835,0.18311215938892156,-302.7134716530334,806793.1169955083,0.7938023601101756,88.9687298791313,-15.792677531217574,7415.369984665038,-84.3749527168528,32012.53305585973,102809.35770991076,1746242.895257433,5.075580572583743,89.4090597084233,0.9621322654485961,0.569200925231213,0.8931920219559353,0.50500275459919,533.3278909430729,2412.4892408262967,8.356018390440887,94.34202535423088,1449,2012-03-04 06:00:00
2012-03-04 07:00:00,64799647.4,285825.13999999856,2804244519.8722196,607815.9107668113,10061370.452939454,201789097793.81534,379326147.10592806,326978533042.8309,58409844580.740204,277075087.67267525,-0.5324413024850017,248.47137417985763,-0.424282638095839,23.47116413155825,124.62553634389636,161.37024770105333,3.745416560755958,15.452176162512334,0.027493489574343735,0.8024544119915695,-0.03811554574559059,-1.303655321576608,42.22008977279741,26.631194588935728,2.3959127975513863,19.60454773430461,49.48993190809242,38.7779987607808,5.299847060247454,86.63193815439578,37.494220204260934,22.294620143009073,1.4757869802707273,7.862579373804364,-1.1322527304623735,6612.719233756001,0.02730097124324724,0.15483743143024853,706.6170170744906,786902.0697143358,1.7154173661227257,111.73259056368772,15.219641446934698,6948.135737069594,61.144805003270314,20901.044165626015,108807.13196367536,1723484.645032095,5.608552449605804,91.81349842662952,0.9725346417412407,0.5679837386209138,0.8612364996181568,0.4476141153991877,516.141514236942,2342.8399181972536,7.947526514728826,79.69384610638751,1449,2012-03-04 07:00:00
2012-03-04 08:00:00,62604183.84999999,18495.010000000737,2535198862.7167053,123478.77104841557,19321815.140686266,176189599893.9673,261314069.36206022,300684083324.0606,58315358766.13726,259637709.01142293,0.03445290786483502,247.09479895709717,-0.44741483219147765,23.651866870685907,116.86088266942434,160.74550920417516,3.78446346042885,15.655316043666954,0.028182408327197508,0.8088326095047261,-0.039242139611970685,-1.3208349165027202,39.411621112204614,26.20653186850992,2.5475847618514145,15.761530880532035,46.325592129316846,37.68778038999977,5.2670054282810055,77.4187946464004,34.327080912273026,21.252653097480056,1.7832550966628773,10.522648303616174,-0.23001894685074245,6021.486511573776,0.02792683711270792,0.555003767415513,486.78154569885663,743812.63397047,1.1375418019087011,131.45654983475836,5.888497910667361,5987.095611168429,58.22990370838963,17509.849431762603,108631.1217282092,1713314.67333849,5.764360923111383,101.98356014135257,0.9640575229478229,0.5658032661318589,0.8800668655803162,0.4951025100372055,483.6587850888993,2240.0072906479454,7.671844799702262,71.47625515475328,1449,2012-03-04 08:00:00
2012-03-04 09:00:00,61746665.599999994,915204.2799999992,2414352868.5467777,867497.0947891255,17325822.759931616,165196408309.31448,341215751.30455196,291565273133.34705,58020624900.69104,253066283.10355684,-1.7048624864945405,247.87453441988012,-0.45052573754285424,23.074780610128045,113.39960968179898,160.57025063646074,3.8269772887664,16.268005467982906,0.026031860419721612,0.8086672077543295,-0.03993462382523803,-1.32282983484315,38.836633225689596,26.95337549153488,2.793835457492809,20.02611231207725,44.93543006164183,37.699720972312626,5.506344879203621,83.05282771581012,33.43587062097724,21.584755066238845,1.9775998529160568,12.352985079778886,-1.6159925017494234,5790.987596561115,0.049394132975086116,1.0750096857313407,-635.6241408750642,745461.0932697564,-1.6264041878150495,377.5611567535733,2.4169976905120003,5431.232651650225,16.953084300549047,16689.50912590139,108082.08505773079,1722466.2686126947,5.542159846792254,109.31971045231106,0.9670155599288589,0.568203226042834,0.8818141625706699,0.48553459190297366,471.41738963443396,2266.8975196373694,8.49476376604604,95.48055224423518,1449,2012-03-04 09:00:00
2012-03-04 10:00:00,63773170.850000024,647443.7299999999,2701502728.7360644,1347211.1812980552,10532368.41898996,192128901883.93286,450962336.2114238,322565529342.5992,59899377062.176155,261294708.7516328,1.2060722961141535,247.9225041255749,-0.4060902880322532,22.135213534633426,121.47561767329255,157.86707187890406,3.65965029201162,15.08268844813675,0.037959098656375416,0.7940388148960869,-0.06569567879366744,-1.2917415585333976,42.705197418134226,28.39561606297514,2.614285342963603,19.38233268860827,48.22082846293164,39.85241334139134,5.350369793234571,77.55926053879101,37.56413428396781,23.59723987542069,1.793719361729311,12.064523732743528,-2.509614361048499,6452.671706149242,0.027863274950258615,0.4818746535838012,840.0624719858124,747958.1271996225,0.7687470032707739,100.53360684309735,-16.072020639426444,7269.659560125798,-103.5026168588883,35593.88847397352,111581.86554557609,1744913.4150300347,5.461164659214158,110.68522444124231,0.9756460823363007,0.567334142932445,0.8579363618671259,0.44424980444537043,486.7454803316434,2212.464702521954,8.251018067658539,88.03571094313462,1449,2012-03-04 10:00:00
2012-03-04 11:00:00,67817780.66,241784.43999999922,2984990511.272842,163457.29909102933,14374946.477671737,222380183082.8509,963819933.021102,363020982593.5595,64177453732.85942,265667802.14990854,0.4504013263291219,250.8747671857717,-0.4253271029433693,20.457653484949418,130.2773039617373,154.0370871752836,3.611745934214045,15.010015471173553,0.029601386057530887,0.7907228137216242,-0.04759347278704186,-1.3059829434692463,45.8997423995074,29.341948200125096,2.457020381704343,16.885690349381658,52.96821011687954,41.46049771613827,4.519055503878254,56.927563127356905,40.628362001616665,24.439862030327184,1.5847444706463065,8.857511703837801,0.3044918205190368,7058.61954888342,0.017891571927894773,0.19942318226340694,1795.4247848833909,787805.5209025408,0.14195999989966596,77.2675330077226,5.854933486720773,7566.771708704213,2.666676410315583,20975.179326300684,119551.16004034765,1797048.4233142785,4.944380529973921,81.29444776592486,0.9784971873267333,0.5631206633933642,0.8492810881187444,0.44619775377669546,494.8917740581732,2170.7032762927365,8.640525883050937,102.67550500856122,1449,2012-03-04 11:00:00
