,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2012-03-04 16:00:00,4.076223e+22,47.698,75.216,89.017,50.037,-0.01846426,48179770000000.0,-0.03276382,-0.01967225,2791.262,1008.183,42612520000000.0,12525.46,8.524944e+23,42.417,38.397,1.219347e+19,0.015,0.123,0.127,0.116,0.03623201,246598400000.0,0.00054638,0.00032815,16.817,960337000000.0,9.190032,6.254821e+20,0.0
2012-03-04 17:00:00,4.293651e+22,47.563,75.434,88.737,50.015,-0.02031144,50870840000000.0,-0.03119971,-0.01812973,2958.236,1001.414,42325120000000.0,11804.13,8.659493e+23,42.221,37.399,1.231365e+19,0.015,0.117,0.119,0.109,0.03404018,249718200000.0,0.00054288,0.00031553,17.429,972412000000.0,8.524765,6.253754e+20,0.0
2012-03-04 18:00:00,4.397699e+22,47.276,77.295,91.203,50.589,0.03540147,52325290000000.0,-0.03069849,-0.01809698,3161.572,1014.734,40565440000000.0,11902.48,8.86363e+23,41.741,36.562,1.251795e+19,0.015,0.117,0.119,0.11,0.0342264,254879700000.0,0.00056244,0.00033159,18.593,992466700000.0,8.832247,6.577264e+20,0.0
2012-03-04 19:00:00,4.310668e+22,47.834,79.735,96.741,53.607,0.0440722,51125000000000.0,-0.03160284,-0.01961342,3145.143,1047.357,40568840000000.0,13123.74,9.307732e+23,42.508,38.566,1.235377e+19,0.015,0.121,0.123,0.115,0.03579571,253873500000.0,0.00055551,0.00034484,18.414,988539800000.0,9.559385,6.779791e+20,0.0
2012-03-04 20:00:00,4.348883e+22,47.356,80.731,96.895,54.272,0.09613284,51763240000000.0,-0.03220847,-0.02106868,3228.486,1097.51,39581460000000.0,13491.29,9.333519e+23,41.825,37.491,1.272673e+19,0.016,0.13,0.131,0.124,0.03826856,264748800000.0,0.00056615,0.00037045,19.297,1030917000000.0,10.21274,7.06536e+20,0.0
2012-03-04 21:00:00,4.496963e+22,47.91,80.433,96.462,54.895,0.02753943,54738760000000.0,-0.03491119,-0.02226971,3390.968,1229.087,45469990000000.0,13606.65,9.973684e+23,42.331,38.577,1.367366e+19,0.017,0.131,0.132,0.125,0.03878978,284329400000.0,0.00057117,0.00036452,20.118,1107237000000.0,10.34109,7.580028e+20,0.0
2012-03-04 22:00:00,4.584006e+22,48.311,80.021,95.35,53.328,0.0088333,56008810000000.0,-0.03562634,-0.02190123,3471.413,1264.708,45630320000000.0,13909.94,1.066761e+24,42.713,39.301,1.336139e+19,0.016,0.123,0.124,0.119,0.03646379,279642900000.0,0.00054578,0.00033566,19.383,1089097000000.0,10.55792,8.096925e+20,0.0
2012-03-04 23:00:00,4.601397e+22,48.432,81.274,96.773,54.518,0.00018657,57002830000000.0,-0.03554596,-0.02214866,3584.383,1276.582,46521590000000.0,14282.51,1.093247e+24,42.634,39.355,1.288108e+19,0.015,0.12,0.12,0.117,0.03554128,272048900000.0,0.00054508,0.0003398,19.585,1059660000000.0,10.735,8.217052e+20,0.0
2012-03-05 00:00:00,4.624655e+22,48.81,82.458,100.54,56.267,-0.07124268,59843060000000.0,-0.03540975,-0.0223769,3769.067,1291.886,45005890000000.0,14707.27,1.127655e+24,43.01,39.711,1.31675e+19,0.015,0.124,0.123,0.122,0.03673092,281628100000.0,0.00057815,0.00036541,21.096,1097138000000.0,12.27631,9.412652e+20,0.0
2012-03-05 01:00:00,4.784735e+22,47.945,84.349,101.614,57.031,-0.00160248,61535100000000.0,-0.03765392,-0.02457262,3979.374,1436.024,50318060000000.0,14225.75,1.104168e+24,42.287,38.614,1.304386e+19,0.015,0.122,0.119,0.12,0.03632247,281926100000.0,0.00057481,0.00037526,21.93,1098480000000.0,11.55164,8.966098e+20,0.0
2012-03-05 02:00:00,4.797467e+22,48.62,83.963,101.844,57.497,0.01682461,64005650000000.0,-0.0406484,-0.02611428,4179.477,1555.993,52600730000000.0,14599.52,1.155262e+24,42.823,39.66,1.336712e+19,0.015,0.123,0.121,0.122,0.03664302,289957000000.0,0.00059781,0.00038427,22.896,1129959000000.0,11.99458,9.491335e+20,0.0
2012-03-05 03:00:00,4.822458e+22,49.159,83.898,101.889,57.578,0.0379229,66070140000000.0,-0.03943984,-0.02459202,4179.921,1505.524,52823310000000.0,14740.02,1.198445e+24,43.476,40.534,1.381992e+19,0.015,0.123,0.121,0.122,0.03683474,299486800000.0,0.00059758,0.00037268,22.815,1167283000000.0,12.12899,9.861538e+20,0.0
2012-03-05 04:00:00,4.894667e+22,48.857,84.365,102.21,57.479,-0.07056099,68968520000000.0,-0.04044068,-0.02510934,4457.062,1566.974,56011290000000.0,14435.09,1.196389e+24,43.164,39.695,1.4056e+19,0.015,0.123,0.121,0.121,0.0366552,303800400000.0,0.00062792,0.00038986,24.33,1184265000000.0,11.63375,9.642116e+20,0.0
2012-03-05 05:00:00,4.889763e+22,49.232,84.876,103.243,57.927,-0.0099609,67772470000000.0,-0.03715693,-0.02353868,4289.583,1451.324,50179650000000.0,15161.51,1.241473e+24,43.645,40.39,1.39652e+19,0.015,0.124,0.121,0.123,0.03739634,306213300000.0,0.00059015,0.00037394,23.056,1193812000000.0,11.56694,9.471385e+20,0.0
2012-03-05 06:00:00,4.867547e+22,48.875,87.268,106.734,59.733,-0.06048501,66787690000000.0,-0.03961556,-0.02634535,4279.319,1560.066,55508110000000.0,15694.34,1.234267e+24,43.402,39.881,1.485418e+19,0.015,0.153,0.135,0.156,0.04286313,337093200000.0,0.00071547,0.00047542,28.152,1314315000000.0,30.55572,2.403027e+21,0.0
2012-03-05 07:00:00,4.791202e+22,49.295,86.636,104.889,58.637,-0.03877179,65770810000000.0,-0.04008246,-0.02657775,4207.159,1554.479,52084970000000.0,15862.84,1.232183e+24,43.652,40.636,1.382747e+19,0.014,0.13,0.127,0.128,0.03900515,302981500000.0,0.00060993,0.00040439,23.652,1181373000000.0,12.54019,9.740885e+20,0.0
2012-03-05 08:00:00,4.879771e+22,49.604,85.167,102.488,57.752,-0.03432059,67343840000000.0,-0.04115843,-0.02626899,4298.676,1608.818,56213640000000.0,15181.63,1.234815e+24,43.969,41.143,1.366774e+19,0.013,0.125,0.12,0.124,0.03709653,301728700000.0,0.00060691,0.00038742,23.727,1176502000000.0,14.531,1.181894e+21,0.0
2012-03-05 09:00:00,4.918144e+22,50.068,84.224,101.075,57.456,-0.02331709,68942970000000.0,-0.0402403,-0.0245992,4275.458,1568.74,56014490000000.0,14859.56,1.258546e+24,44.725,41.998,1.434097e+19,0.014,0.124,0.122,0.121,0.03704656,313769700000.0,0.00066859,0.00040761,25.994,1223421000000.0,11.13552,9.431341e+20,0.0
2012-03-05 10:00:00,4.959788e+22,49.15,85.735,102.772,59.158,-0.04902894,69159950000000.0,-0.04127388,-0.02625003,4389.477,1636.295,57054760000000.0,14931.18,1.236117e+24,43.824,40.486,1.477194e+19,0.014,0.134,0.13,0.129,0.03889577,322008800000.0,0.00071347,0.00045369,28.281,1255471000000.0,12.9344,1.070808e+21,0.0
2012-03-05 11:00:00,4.854575e+22,48.853,84.642,101.144,58.301,-0.02731171,64528520000000.0,-0.04037356,-0.02684886,4176.743,1583.035,53479450000000.0,15545.92,1.21731e+24,43.388,40.289,1.356504e+19,0.014,0.128,0.123,0.126,0.03860794,302316200000.0,0.00060848,0.00040494,23.876,1178587000000.0,11.49408,9.000341e+20,0.0
2012-03-05 12:00:00,4.769781e+22,49.226,84.41,101.071,58.806,0.00336577,63548940000000.0,-0.04000716,-0.02671275,4171.742,1544.799,52588270000000.0,16026.05,1.230813e+24,43.88,41.186,1.327245e+19,0.013,0.129,0.122,0.127,0.0386516,296847300000.0,0.00062774,0.00041924,24.245,1157139000000.0,11.41728,8.768565e+20,0.0
2012-03-05 13:00:00,4.786734e+22,49.132,84.02,101.688,58.525,0.0821507,64154650000000.0,-0.03985693,-0.02650555,4207.546,1541.562,50604020000000.0,16098.37,1.243445e+24,43.742,41.046,1.311926e+19,0.013,0.128,0.12,0.126,0.03833957,296136400000.0,0.00061894,0.00041168,23.943,1154226000000.0,11.62734,8.981008e+20,0.0
2012-03-05 14:00:00,4.799573e+22,49.363,84.982,103.297,59.136,0.00356062,64593970000000.0,-0.0400813,-0.02676635,4292.241,1562.325,54029610000000.0,16368.05,1.268861e+24,44.107,41.722,1.388098e+19,0.013,0.136,0.131,0.131,0.03976183,308236000000.0,0.00068744,0.00045798,26.732,1201236000000.0,12.54413,9.72428e+20,0.0
2012-03-05 15:00:00,4.891054e+22,49.16,86.165,104.25,60.5,0.06265808,68504640000000.0,-0.04250951,-0.0284786,4553.286,1689.721,56943360000000.0,16401.1,1.292399e+24,43.934,41.368,1.553515e+19,0.013,0.161,0.144,0.156,0.04338524,341873700000.0,0.00083626,0.00055973,33.211,1332169000000.0,23.28273,1.834668e+21,0.0
2012-03-05 16:00:00,4.966634e+22,49.593,85.64,103.584,59.745,0.05057903,70773230000000.0,-0.0428723,-0.02767089,4580.104,1717.422,56178560000000.0,16395.32,1.351472e+24,44.342,42.421,1.469507e+19,0.014,0.136,0.13,0.134,0.04000443,329757900000.0,0.00069499,0.00044981,27.918,1284829000000.0,15.39038,1.268635e+21,0.0
2012-03-05 17:00:00,5.08615e+22,50.205,84.507,101.1,58.315,0.05122952,72645570000000.0,-0.042996,-0.0267329,4710.636,1758.41,57809560000000.0,15710.13,1.372438e+24,44.906,43.278,1.556615e+19,0.013,0.133,0.13,0.128,0.03862358,337415800000.0,0.00082755,0.00051278,33.729,1314566000000.0,13.21933,1.154842e+21,0.0
2012-03-05 18:00:00,5.083761e+22,50.161,84.991,102.114,58.154,0.01940557,71668840000000.0,-0.04494476,-0.02845085,4703.484,1845.578,60344370000000.0,16150.49,1.391411e+24,44.778,43.647,1.357173e+19,0.013,0.117,0.112,0.117,0.03585298,308883700000.0,0.00062001,0.00039271,25.475,1203353000000.0,11.18058,9.632388e+20,0.0
