,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA,date,hnum
0,7.874215e+21,40.722,129.133,126.406,69.211,0.31761032,13225970000000.0,-0.01711909,-0.00556057,633.834,71.414,2608068000000.0,3439.788,5.866927e+22,30.56,16.172,2.992133e+18,0.03,0.154,0.125,0.2,0.06105847,104141800000.0,0.00160116,0.00052008,6.679,401533200000.0,6.566836,1.120044e+20,0.0,2015-02-10 16:00:00,5151
0,1.617947e+22,33.292,79.681,81.925,37.802,-0.1337779,14958150000000.0,0.00139639,0.00054543,826.198,12.644,1585239000000.0,4083.498,1.257175e+23,25.928,12.764,6.455768e+18,0.028,0.144,0.151,0.123,0.03785467,116542100000.0,0.00074805,0.00029219,6.774,448569600000.0,4.853991,1.494384e+20,0.001,2015-02-05 01:00:00,5151
