,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA,date,hnum
0,2.958994e+21,61.679,80.984,77.313,55.809,0.10741843,3548721000000.0,0.01598385,0.00908305,160.54,42.872,284814300000.0,14599.34,9.151409e+22,50.858,63.453,2.232602e+18,0.042,0.305,0.252,0.343,0.10382504,65081380000.0,0.00222609,0.00126504,5.971,262423500000.0,23.18285,1.453187e+20,0.004,2017-09-02 01:00:00,7115
0,3.294264e+22,59.513,100.157,119.766,75.039,-0.0293332,71444840000000.0,-0.07191911,-0.04309795,4932.409,2050.859,60129840000000.0,19917.11,1.258715e+24,52.034,58.741,9.95537e+18,0.015,0.144,0.121,0.146,0.04396723,277862600000.0,0.00085649,0.00051857,24.677,1118297000000.0,11.41257,7.212478e+20,0.0,2017-09-04 18:00:00,7115
0,3.42646e+22,58.318,101.735,120.57,75.76,-0.05783701,74808950000000.0,-0.07036982,-0.04313459,5280.184,2100.266,58061870000000.0,20235.58,1.308537e+24,50.438,56.081,1.056641e+19,0.021,0.237,0.123,0.272,0.09515688,615333300000.0,0.00298883,0.00183249,89.226,2477244000000.0,36.03326,2.330096e+21,0.001,2017-09-05 00:00:00,7115
